id	bc	mites	habitat	Species	Sex	
LT TR50437	-2.232360652	n	DMW	RBV	M	
LT TR50439	-0.45111625	n	DMW	RBV	M	
LT04174 TR04173	-0.245400826	n	SMH	DM	M	
LT17905 TR17904	1.327871813	n	BSA	DM	M	
LT17957 TR17962	-0.932031196	n	CON	DM	M	
LT50335 TR50334	1.794363587	n	COMW	DM	M	
LT50370 TR50369	-0.511033417	n	BSA	DM	M	
LT50384 TR50383	0.134944157	n	BSA	DM	M	
LT50410 TR50412	2.834649733	n	COMW	DM	M	
LT50468 TR50467	3.227683165	n	BSA	DM	M	
LT50491 TR50357	1.06814642	n	COMW	DM	M	
LT50497 TR50496	-0.275513225	n	SMH	DM	M	
LT50506 TR50505	-1.301966676	n	BSA	DM	M	
LT50525 TR50524	-1.075688161	n	SMH	DM	M	
LT50530 TR50529	-1.410889697	n	SMH	DM	M	
LT50572 TR50571	0.764996153	n	SMH	DM	M	
LT50574 TR50573	2.918762952	n	SMH	DM	M	
LT50590 TR50589	-1.790239958	n	CON	DM	M	50590
LT50595 TR50594	0.110370213	n	SMH	DM	M	
LT50602 TR50601	3.620156699	n	SMH	DM	M	
LT50665 TR50664	-1.140935197	n	COMW	DM	M	
LT50672 TR	1.505960812	n	COMW	RBV	M	
LT50677 TR50676	1.686619497	n	WPRP	DM	M	
LT50742 TR50741	-1.919847713	n	WPWS	DM	M	
LT50758 TR50757	0.545535896	n	BSA	DM	F	
LT50761 TR50760	-1.949142953	n	BSA	DM	M	
LT50773 TR50772	2.015618337	n	WPRP	DM	M	
LT50799 TR50798	-1.911189208	n	Pine	DM	M	
LT50815 TR50814	-0.953428133	n	SMH	DM	M	
LT50836 TR50935	-2.621961997	n	COMW	DM	F	
LT50842 TR50932	-0.278552259	n	COMW	DM	F	
LT50848 TR50847	-0.14622004	n	COMW	DM	M	
LT50850 TR50849	-0.379073489	n	COMW	DM	M	
LT50866 TR50865	1.280733574	n	BSA	DM	M	
LT50924 TR	-2.565921881	n	WPRP	RBV	M	
LT50937 TR50936	-2.149775166	n	COMW	DM	M	
LTH382 TRH291	3.928753057	n	Pine	DM	F	
LT TR50437	0.657997358	y	DMW	RBV	M	
LT TR50439	1.778502789	y	DMW	RBV	M	
LT04174 TR04173	0.300804115	y	SMH	DM	M	
LT17905 TR17904	-1.273176829	y	BSA	DM	M	
LT17957 TR17962	-1.317002898	y	CON	DM	M	
LT50335 TR50334	2.03451588	y	COMW	DM	M	
LT50370 TR50369	1.877042013	y	BSA	DM	M	
LT50384 TR50383	-1.590310912	y	BSA	DM	M	
LT50410 TR50412	3.871008825	y	COMW	DM	M	
LT50468 TR50467	3.397589028	y	BSA	DM	M	
LT50491 TR50357	2.84012833	y	COMW	DM	M	
LT50497 TR50496	0.412349664	y	SMH	DM	M	
LT50506 TR50505	-1.867867517	y	BSA	DM	M	
LT50525 TR50524	0.954910137	y	SMH	DM	M	
LT50530 TR50529	-0.778901062	y	SMH	DM	M	
LT50572 TR50571	0.989294833	y	SMH	DM	M	
LT50574 TR50573	-0.288479568	y	SMH	DM	M	
LT50590 TR50589	-1.026482367	y	CON	DM	M	
LT50595 TR50594	1.466035171	y	SMH	DM	M	
LT50602 TR50601	2.238016644	y	SMH	DM	M	
LT50665 TR50664	-1.949142953	y	COMW	DM	M	
LT50672 TR	1.104816373	y	COMW	RBV	M	
LT50677 TR50676	3.563263542	y	WPRP	DM	M	
LT50742 TR50741	6.185977337	y	WPWS	DM	M	
LT50758 TR50757	0.537624391	y	BSA	DM	F	
LT50761 TR50760	-2.573287667	y	BSA	DM	M	
LT50773 TR50772	1.720455843	y	WPRP	DM	M	
LT50799 TR50798	-3.057623855	y	Pine	DM	M	
LT50815 TR50814	-1.513676903	y	SMH	DM	M	
LT50836 TR50935	-3.417549544	y	COMW	DM	F	
LT50842 TR50932	-2.174118413	y	COMW	DM	F	
LT50848 TR50847	-1.836755189	y	COMW	DM	M	
LT50850 TR50849	-1.510204813	y	COMW	DM	M	
LT50866 TR50865	2.41753293	y	BSA	DM	M	
LT50924 TR	-2.341135334	y	WPRP	RBV	M	
LT50937 TR50936	-4.569191449	y	COMW	DM	M	
LTH382 TRH291	2.078473221	y	Pine	DM	F	
