Date,Trapline,Habitat,Species,Age,Sex,TagLeft,TagRight,id,Weight,ReproCond,Hindfoot,SkullWidth,SkullLength,OrangeMites 
16-08-04,112,SMH,DM,A,M,4174,4173,LT04174 TR04173,19,SCR,19,12.8,27,N
16-08-05,112,SMH,DM,A,M,4174,4173,LT04174 TR04173,19,SCR,19,12.9,27.2,N
16-08-06,112,SMH,DM,A,M,4174,4173,LT04174 TR04173,19,SCR,19,13,27.8,N
16-08-07,112,SMH,DM,SA,M,4174,4173,LT04174 TR04173,17.5,NSCR,19,13.1,27.5,N
16-08-16,112,SMH,DM,SA,M,4174,4173,LT04174 TR04173,18.5,NSCR,18,13,26.3,Y
16-08-17,112,SMH,DM,SA,M,4174,4173,LT04174 TR04173,18,SCR,17,13,26.7,Y
16-08-18,112,SMH,DM,SA,M,4174,4173,LT04174 TR04173,18,SCR,18,13,26.5,Y
16-08-09,701,BSA,DM,A,M,17905,17904,LT17905 TR17904,21,NSCR,19,13,28.7,N
16-08-10,701,BSA,DM,A,M,17905,17904,LT17905 TR17904,19,NSCR,19,12.8,27.7,Y
16-08-11,701,BSA,DM,SA,M,17905,17904,LT17905 TR17904,16,NSCR,19.5,12.7,27.9,Y
16-08-22,701,BSA,DM,SA,M,17905,17904,LT17905 TR17904,18,NSCR,19,13.1,26.6,Y
16-08-11,401,C,DM,SA,M,17957,17962,LT17957 TR17962,18.5,SCR,18,13,28.9,N
16-08-22,401,C,DM,SA,M,17957,17962,LT17957 TR17962,17,NSCR,18,13,26.9,Y
16-08-23,401,C,DM,SA,M,17957,17962,LT17957 TR17962,18,NSCR,19,13,28,Y
16-08-24,401,C,DM,SA,M,17957,17962,LT17957 TR17962,17,NSCR,19.5,13.1,26.4,Y
16-06-21,201,COMW,DM,A,M,50335,50334,LT50335 TR50334,21.5,SCR,20,12.5,28.6,N
16-07-06,201,COMW,DM,A,M,50335,50334,LT50335 TR50334,21,SCR,19,13.5,27.6,N
16-07-07,201,COMW,DM,A,M,50335,50334,LT50335 TR50334,22,SCR,19,13.6,29.4,N
16-07-19,201,COMW,DM,A,M,50335,50334,LT50335 TR50334,21.5,SCR,20,13,27.3,Y
16-07-20,201,COMW,DM,A,M,50335,50334,LT50335 TR50334,21,SCR,21,12.9,26.8,Y
16-07-23,701,BSA,DM,A,M,50370,50369,LT50370 TR50369,20,NSCR,18,13,27.7,Y
16-05-26,701,BSA,DM,A,M,50370,50369,LT50370 TR50369,20,NSCR,19,11.6,25,N
16-06-29,701,BSA,DM,SA,M,50370,50369,LT50370 TR50369,18.5,SCR,20,11.65,28.3,N
16-07-12,701,BSA,DM,SA,M,50370,50369,LT50370 TR50369,17,SCR,18,12.9,27.3,N
16-07-14,701,BSA,DM,SA,M,50370,50369,LT50370 TR50369,17.5,SCR,20,12.8,27.9,N
16-07-24,701,BSA,DM,A,M,50370,50369,LT50370 TR50369,20,NSCR,18,12.6,25.8,Y
16-05-25,703,BSA,DM,SA,M,50384,50383,LT50384 TR50383,18,SCR,18,11.56,27.65,N
16-05-26,701,BSA,DM,SA,M,50384,50383,LT50384 TR50383,17.5,SCR,18,12,25.5,N
16-06-30,701,BSA,DM,A,M,50384,50383,LT50384 TR50383,19,SCR,18,12.7,28.2,N
16-07-24,703,BSA,DM,SA,M,50384,50383,LT50384 TR50383,18,NSCR,18,12.9,25,N
16-08-09,703,BSA,DM,SA,M,50384,50383,LT50384 TR50383,18,NSCR,19,13.2,28,Y
