Date	Grid	Trapline	Species	Fate	Age	Sex	TagLeft	TagRight	Orange Mites (Y/N)	Weight	ReproCond	Year
06/08/2020	Falls	8	1	New Tag	A	2	0003	0002	0	19	PERF/LACT	4
06/08/2020	Falls	7	1	New Tag	SA	2	0005	0004	0	14.5	NR	4
19/08/2020	Falls	7	1	Recap	SA	2	0005	0004	0	18	NR	4
20/08/2020	Falls	7	1	Recap	SA	2	0005	0004	0	15.5	NR	4
06/08/2020	Falls	7	1	New Tag	J	2	0007	0006	0	14.5	NR	4
19/08/2020	Falls	7	1	Recap	SA	2	0007	0006	0	16.5	NR	4
20/08/2020	Falls	7	1	Recap	SA	2	0007	0006	0	15	NR	4
21/08/2020	Falls	7	1	Recap	SA	2	0007	0006	0	16.5	NR	4
06/08/2020	Falls	7	1	New Tag	SA	2	0009	0008	0	14	NR	4
05/08/2020	Falls	9	1	New Tag	SA	2	0014	0013	0	18	PERF	4
06/08/2020	Falls	9	1	Recap	SA	2	0014	0013	0	17.5	PERF	4
05/08/2020	Falls	8	1	New Tag	SA	2	0016	0015	0	15	NR	4
06/08/2020	Falls	8	1	Recap	SA	2	0016	0015	0	14.5	NR	4
19/08/2020	Falls	8	1	Recap	SA	2	0016	0015	0	17	NR	4
20/08/2020	Falls	8	1	Recap	SA	2	0016	0015	0	15.5	NR	4
21/08/2020	Falls	8	1	Recap	SA	2	0016	0015	0	15.5	NR	4
05/08/2020	Falls	7	1	New Tag	A	2	0019	0018	0	19.5	PERF	4
06/08/2020	Falls	7	1	Recap	A	2	0019	0018	0	19	PERF	4
20/08/2020	Falls	7	1	Recap	A	2	0019	0018	0	19.5	NR	4
21/08/2020	Falls	7	1	Recap	A	2	0019	0018	0	19.5	NR	4
05/08/2020	Falls	7	1	New Tag	A	2	0022	0021	0	19	PREG/LACT	4
06/08/2020	Falls	7	1	Recap	A	2	0022	0021	0	21.5	PREG/LACT	4
20/08/2020	Falls	7	1	Recap	A	2	0022	0021	0	19.5	NR	4
21/08/2020	Falls	7	1	Recap	A	2	0022	0021	0	18	NR	4
05/08/2020	Falls	7	1	New Tag	SA	1	0024	0023	0	16.5	NSCR	4
06/08/2020	Falls	7	1	Recap	SA	1	0024	0023	0	16	NSCR	4
20/08/2020	Falls	7	1	Recap	A	1	0024	0023	0	17	SCR	4
19/08/2020	Falls	7	1	New Tag	A	1	0027	0026	0	19	NSCR	4
21/08/2020	Falls	7	1	Recap	A	1	0027	0026	0	19.5	NSCR	4
19/08/2020	Falls	7	1	New Tag	SA	1	0031	0030	0	20.5	NSCR	4
12/08/2020	Falls	3	1	New Tag	A	2	0035	0034	0	19	PERF	4
