Date	Grid	Trapline	Station	Trap	Observer	TrapType	Feed Used	Species	Fate	Age	Sex	TagChange	Unique	TagLeft	TagRight	Weight	ReproCond	Lactating	Hindfoot	Tail	Ear	Skull Width	Skull Length	Parasites	Orange Mites (Y/N)	Orange Mite Vial	Weather	Temperature	Comments
30/07/2020	Falls	111	1	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	111	1	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	111	2	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	111	2	2	JV	Sherman	Sunflower Seeds	ECHIP	Recap	A	F	0	0	1744		65	NR	N									Cloudy	Cool	
30/07/2020	Falls	111	3	1	JV	Sherman	Sunflower Seeds	DM	Recap	J	F	0	0	1696	1695	13.5	NR	N									Cloudy	Cool	
30/07/2020	Falls	111	3	2	JV	Sherman	Sunflower Seeds	DM	Recap	A	M	0	0	1844	1843	19	NSCR										Cloudy	Cool	
30/07/2020	Falls	111	4	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	111	4	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	111	5	1	JV	Sherman	Sunflower Seeds	DM	Recap	A	F	0	0	1837	1836	20.5	NR	N									Cloudy	Cool	Botfly behind L front leg on shoulder
30/07/2020	Falls	111	5	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	111	6	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	111	6	2	JV	Sherman	Sunflower Seeds	DM	Recap	SA	F	0	0	1829	1740	16.5	NR	N									Cloudy	Cool	Two mice in one trap
30/07/2020	Falls	111	6	2	JV	Sherman	Sunflower Seeds	DM	Recap	SA	F	0	0	1835	1733	14.5	NR	N									Cloudy	Cool	Two mice in one trap
30/07/2020	Falls	111	7	1	JV	Sherman	Sunflower Seeds	DM	Recap	A	M	0	0	1833	1832	18.5	NSCR										Cloudy	Cool	Botfly on chest between front legs
30/07/2020	Falls	111	7	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	111	8	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	111	8	2	JV	Sherman	Sunflower Seeds	DM	Recap	SA	M	0	0	1831	1830	17	NSCR										Cloudy	Cool	
30/07/2020	Falls	111	9	1	JV	Sherman	Sunflower Seeds	DM	Recap	SA	M	0	0	1692	1741	17	NSCR										Cloudy	Cool	
30/07/2020	Falls	111	9	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	111	10	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	111	10	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	112	1	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	112	1	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	112	2	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	112	2	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	112	3	1	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	112	3	2	JV	Sherman	Sunflower Seeds	Trap Malfunction																			Cloudy	Cool	
30/07/2020	Falls	112	4	1	JV	Sherman	Sunflower Seeds	STS	Trap Death																		Cloudy	Cool	
30/07/2020	Falls	112	4	2	JV	Sherman	Sunflower Seeds	DM	Recap	SA	M	0	0	1688	1687	15.5	NSCR										Cloudy	Cool	
