Date	Grid	Trapline	Species	Fate	Age	Sex	TagLeft	TagRight	Orange Mites (Y/N)	Weight	ReproCond	Year		
2018-07-17	Falls	5	1	Recap	SA	2	1002	1001	0	16	NR	3		
2018-07-18	Falls	3	1	Recap	SA	1	1004	1003	0	13	NR	3		
2018-07-17	Falls	3	1	Recap	J	2	1006	1005	0	12	NR	3		
2018-07-18	Falls	3	1	Recap	J	2	1006	1005	0	9	NR	3		
2018-07-30	Falls	3	1	Recap	J	2	1006	1005	0	14	NR	3		
2018-07-31	Falls	3	1	Recap	J	2	1006	1005	0	12	NR	3		
2018-08-01	Falls	3	1	Recap	J	2	1006	1005	0	14	NR	3		
2018-08-13	Falls	3	1	Recap	J	2	1006	1005	0	17	NR	3		
2018-08-14	Falls	3	1	Recap	J	2	1006	1005	0	14.25	NR	3		
2018-08-15	Falls	3	1	Recap	J	2	1006	1005	0	15	NR	3		
2018-07-17	Falls	5	1	New Tag	SA	1	1018	1014	0		NSCR	3		
2018-07-16	Falls	4	1	Recap	A	1	1022	2812	1	17.5	SCR	3		
2018-07-17	Falls	4	1	Recap	A	1	1022	2812	1		SCR	3		
2018-07-18	Falls	4	1	Recap	A	1	1022	2812	1		SCR	3		
2018-07-19	Falls	7	1	Recap	J	1	1029	1028	0	15.5	NSCR	3		
2018-07-20	Falls	7	1	Recap	J	1	1029	1028	0	14	NSCR	3		
2018-07-21	Falls	7	1	Recap	J	1	1029	1028	0	13.5	NSCR	3		
2018-08-05	Falls	7	1	Recap	SA	1	1029	1028	0	14.25	NSCR	3		
2018-08-06	Falls	7	1	Recap	SA	1	1029	1028	0	13.5	NSCR	3		
2018-08-14	Falls	7	1	Recap	SA	1	1029	1028	1	14	NSCR	3		
2018-08-15	Falls	7	1	Recap	A	1	1029	1028	1	14.75	NSCR	3		
2018-07-23	Falls	1	1	Recap	A	2	1038	1037	0	20	NR	3		
2018-07-19	Falls	7	1	Recap	J	2	1043	1042	0	11	NR	3		
2018-07-20	Falls	7	1	Recap	SA	2	1043	1042	0	14	PREG	3		
2018-08-05	Falls	7	1	Recap	SA	2	1043	1042	1	14.75	PERF	3		
2018-08-14	Falls	7	1	Recap	SA	2	1043	1042	1	18	NR	3		
2018-08-15	Falls	7	1	Recap	SA	2	1043	1042	1	16	NR	3		
2018-07-20	Falls	7	1	Recap	A	2	1045	1044	0	16	NR	3		
2018-07-21	Falls	7	1	Recap	SA	2	1045	1044	0	13	NR	3		
2018-07-21	Falls	8	1	Recap	A	2	1050	1049	0	22	PREG/LACT	3		
2018-07-11	Falls	1	1	Recap	A	2	1061	1060	0	20.5	NR	3		
2018-08-08	Falls	1	1	Recap	A	2	1061	1060	0	19.5	NR	3		
2018-08-09	Falls	1	1	Recap	A	2	1061	1060	0	20	NR	3		
2018-07-11	Falls	1	1	Recap	J	2	1063	1062	0	12.75	NR	3		
2018-07-23	Falls	1	1	Recap	SA	2	1063	1062	0	15	LACT	3		
2018-07-24	Falls	1	1	Recap	SA	2	1063	1062	0	16.5	NR	3		
2018-08-07	Falls	1	1	Recap	SA	2	1063	1062	0	15.25	NR	3		
2018-08-09	Falls	1	1	Recap	SA	2	1063	1062	0	10.5	NR	3		
2018-07-19	Falls	7	1	Recap	SA	1	1068	1067	0	11.5	NSCR	3		
2018-07-20	Falls	7	1	Recap	SA	1	1068	1067	0	8	SCR	3		
2018-07-21	Falls	7	1	Recap	A	1	1068	1067	0	13	NSCR	3		
2018-07-20	Falls	8	1	Recap	A	2	1070	1069	0	17	PERF	3		
2018-07-19	Falls	8	1	Recap	A	1	1072	1071	0	18	SCR	3		
